PO #,PO #,Description,Vendor,Organization,Department,Buyer,Status,Sent Date,Total
https://nevadaepro.com/bso/external/purchaseorder/poSummary.sdo?docId=99SWC-NV25-25281&releaseNbr=1705&external=true&parentUrl=close,PO #99SWC-NV25-25281:1705,G2B #99SWC-NV25-25281,"Amazon Capital Services, Inc.","Department of Employment, Training and Rehabilitation",Rehabilitation Division,Loretta Kempski,3PS - Sent,08/05/2025,$43.98
https://nevadaepro.com/bso/external/purchaseorder/poSummary.sdo?docId=99SWC-NV25-25281&releaseNbr=1708&external=true&parentUrl=close,PO #99SWC-NV25-25281:1708,G2B #99SWC-NV25-25281-SV26058,"Amazon Capital Services, Inc.",Department of Human Services,Division of Child and Family Services,Rosa Macharg,3PS - Sent,08/05/2025,$53.13
https://nevadaepro.com/bso/external/purchaseorder/poSummary.sdo?docId=99SWC-NV25-25281&releaseNbr=1709&external=true&parentUrl=close,PO #99SWC-NV25-25281:1709,G2B #99SWC-NV25-25281-SV26051,"Amazon Capital Services, Inc.",Department of Human Services,Division of Child and Family Services,Rosa Macharg,3PS - Sent,08/05/2025,$69.97
https://nevadaepro.com/bso/external/purchaseorder/poSummary.sdo?docId=99SWC-NV25-25281&releaseNbr=1710&external=true&parentUrl=close,PO #99SWC-NV25-25281:1710,G2B #99SWC-NV25-25281- SV26059,"Amazon Capital Services, Inc.",Department of Human Services,Division of Child and Family Services,Rosa Macharg,3PS - Sent,08/05/2025,$27.65
https://nevadaepro.com/bso/external/purchaseorder/poSummary.sdo?docId=99SWC-NV25-25281&releaseNbr=1711&external=true&parentUrl=close,PO #99SWC-NV25-25281:1711,G2B #99SWC-NV25-25281,"Amazon Capital Services, Inc.",Governor's Office,State Energy Office,Leah Touchstone,3PCR - Complete Receipt,08/05/2025,$239.99
https://nevadaepro.com/bso/external/purchaseorder/poSummary.sdo?docId=99SWC-NV25-25281&releaseNbr=1712&external=true&parentUrl=close,PO #99SWC-NV25-25281:1712,Heart Saver replacement battery,"Amazon Capital Services, Inc.",Department of Conservation and Natural Resources,Forestry Division,Aaron Jordan,3PS - Sent,08/05/2025,$205.00
https://nevadaepro.com/bso/external/purchaseorder/poSummary.sdo?docId=99SWC-NV25-25281&releaseNbr=1713&external=true&parentUrl=close,PO #99SWC-NV25-25281:1713,G2B #99SWC-NV25-25281,"Amazon Capital Services, Inc.",Department of Tourism And Cultural Affairs,Nevada Arts Council,Daniel Christensen,3PS - Sent,08/05/2025,$173.23
https://nevadaepro.com/bso/external/purchaseorder/poSummary.sdo?docId=99SWC-NV25-25281&releaseNbr=1714&external=true&parentUrl=close,PO #99SWC-NV25-25281:1714,Amazon Infirmary Supplies,"Amazon Capital Services, Inc.",Department of Human Services,Division of Child and Family Services,Nikole Herbst,3PS - Sent,08/05/2025,$458.05
https://nevadaepro.com/bso/external/purchaseorder/poSummary.sdo?docId=99SWC-NV25-25281&releaseNbr=1715&external=true&parentUrl=close,PO #99SWC-NV25-25281:1715,G2B #99SWC-NV25-25281,"Amazon Capital Services, Inc.",Department of Human Services,Division of Child and Family Services,Heather Staneff,3PS - Sent,08/05/2025,$224.99
https://nevadaepro.com/bso/external/purchaseorder/poSummary.sdo?docId=99SWC-NV25-25281&releaseNbr=1716&external=true&parentUrl=close,PO #99SWC-NV25-25281:1716,G2B #99SWC-NV25-25281,"Amazon Capital Services, Inc.",Department of Wildlife,Department of Wildlife,Emily Hobbs,3PS - Sent,08/05/2025,$263.78
https://nevadaepro.com/bso/external/purchaseorder/poSummary.sdo?docId=99SWC-NV25-25281&releaseNbr=1717&external=true&parentUrl=close,PO #99SWC-NV25-25281:1717,PA 26-040,"Amazon Capital Services, Inc.",Department of Public Safety,Investigation Division,Katarina Prieberova,3PS - Sent,08/05/2025,$147.38
https://nevadaepro.com/bso/external/purchaseorder/poSummary.sdo?docId=99SWC-NV25-25281&releaseNbr=1718&external=true&parentUrl=close,PO #99SWC-NV25-25281:1718,G2B #99SWC-NV25-25281,"Amazon Capital Services, Inc.",Department of Conservation and Natural Resources,Division of Water Resources,Alexandra Parker,3PS - Sent,08/05/2025,$179.41
https://nevadaepro.com/bso/external/purchaseorder/poSummary.sdo?docId=99SWC-NV25-25281&releaseNbr=1719&external=true&parentUrl=close,PO #99SWC-NV25-25281:1719,G2B #99SWC-NV25-25281,"Amazon Capital Services, Inc.",Governor's Office,Governor's Finance Office,Thomas Helms,3PCR - Complete Receipt,08/05/2025,$16.75
https://nevadaepro.com/bso/external/purchaseorder/poSummary.sdo?docId=99SWC-NV25-25281&releaseNbr=1720&external=true&parentUrl=close,PO #99SWC-NV25-25281:1720,G2B #99SWC-NV25-25281,"Amazon Capital Services, Inc.",Department of Business and Industry,Nevada Transportation Authority,Kerri McKenzie,3PS - Sent,08/05/2025,$16.48
https://nevadaepro.com/bso/external/purchaseorder/poSummary.sdo?docId=99SWC-NV25-25281&releaseNbr=1721&external=true&parentUrl=close,PO #99SWC-NV25-25281:1721,G2B #99SWC-NV25-25281,"Amazon Capital Services, Inc.",Governor's Office,Governor's Office of Federal Assistance,Leticia Chavez,3PS - Sent,08/05/2025,$659.98
https://nevadaepro.com/bso/external/purchaseorder/poSummary.sdo?docId=99SWC-NV25-25281&releaseNbr=1722&external=true&parentUrl=close,PO #99SWC-NV25-25281:1722,08-05-2025 Amazon Phone Cord,"Amazon Capital Services, Inc.",Department of Human Services,Public and Behavioral Health,John Salvador,3PS - Sent,08/06/2025,$10.86
